iter	RMSE
0	0.1952156355
1	0.1940652184
2	0.1929862193
3	0.1920617344
4	0.1909561888
5	0.1902076475
6	0.1897047429
7	0.1888683539
8	0.1881392025
9	0.187567137
10	0.1869824952
11	0.1863821573
12	0.1856094374
13	0.18496543
14	0.1843993619
15	0.1836927657
16	0.182962846
17	0.182443668
18	0.1819435557
19	0.1816149776
20	0.1812261497
21	0.1807585125
22	0.1802960022
23	0.1799761352
24	0.1797086033
25	0.1794165123
26	0.1789287227
27	0.1785820349
28	0.1782816626
29	0.1780202857
30	0.1777258358
31	0.1774777374
32	0.1771724994
33	0.1767427802
34	0.1763272889
35	0.1759656399
36	0.1756438993
37	0.1753558179
38	0.1749761228
39	0.17474079
40	0.1743922382
41	0.1740216243
42	0.1737675605
43	0.1735423812
44	0.1733216359
45	0.1731152464
46	0.1728735515
47	0.1726736268
48	0.172441564
49	0.1722298847
50	0.1720838769
51	0.1718554597
52	0.1715930504
53	0.1714397156
54	0.1711759918
55	0.1708055031
56	0.1706208352
57	0.1703755965
58	0.1701292151
59	0.1698851143
60	0.1696379186
61	0.169476149
62	0.1692238674
63	0.169077582
64	0.1688697891
65	0.1687479819
66	0.1685602426
67	0.168360793
68	0.1682321638
69	0.1681843277
70	0.1681045916
71	0.16793053
72	0.1678422177
73	0.1677618483
74	0.1675575897
75	0.1673872692
76	0.1671711421
77	0.1669943596
78	0.1668294459
79	0.1666749159
80	0.1664365128
81	0.1662953483
82	0.1662336422
83	0.1660808341
84	0.1659784562
85	0.1658536712
86	0.1655926433
87	0.1654470116
88	0.1653116322
89	0.1652284052
90	0.1651293972
91	0.1649820373
92	0.1649464165
93	0.1647188555
94	0.1645954325
95	0.1644681304
96	0.1643272134
97	0.1641726822
98	0.1639624585
99	0.163901447
100	0.1637275404
101	0.1636015847
102	0.1634144705
103	0.1632515824
104	0.1632022417
105	0.1631233293
106	0.1630048539
107	0.1627988509
108	0.1627353958
109	0.1626625732
110	0.1625121313
111	0.1624406932
112	0.1622484308
113	0.1621650315
114	0.1620341567
115	0.1619243614
116	0.1618630637
117	0.1616860697
118	0.1615572101
119	0.1614090695
120	0.1612967631
121	0.16117592
122	0.1610548495
123	0.1609562174
124	0.1608520634
125	0.160693824
126	0.1606295279
127	0.1605083935
128	0.1604096671
129	0.160367678
130	0.1602505457
131	0.1601919579
132	0.1600850467
133	0.1599217046
134	0.1598663066
135	0.1597563005
136	0.1596099841
137	0.1595701584
138	0.1594269003
139	0.159385605
140	0.1592907186
141	0.159077238
142	0.1589827611
143	0.1588021502
144	0.1586545989
145	0.1584665522
146	0.158272381
147	0.1582191457
148	0.1579884463
149	0.157887646
150	0.1578325978
151	0.1576942003
152	0.1575153403
153	0.1573682333
154	0.1572382093
155	0.1571044591
156	0.1569761817
157	0.1569284562
158	0.1568777641
159	0.1568316454
160	0.1566903601
161	0.1565354222
162	0.1564424732
163	0.1563205352
164	0.1562266461
165	0.1561557014
166	0.1559671448
167	0.1558881163
168	0.1557016744
169	0.1556133369
170	0.1555504171
171	0.1553891594
172	0.1551804803
173	0.1550814787
174	0.1549257549
175	0.1547882784
176	0.1546062138
177	0.1544212328
178	0.1543553984
179	0.1541435401
180	0.1540419295
181	0.1537843538
182	0.1537176959
183	0.1535640442
184	0.1533229791
185	0.1531804707
186	0.1531185678
187	0.1530529421
188	0.1528360502
189	0.1526333044
190	0.1525720983
191	0.1523946392
192	0.1522619778
193	0.1521115151
194	0.1519735604
195	0.1517654964
196	0.1516386661
197	0.1515564302
198	0.1514008252
199	0.1512023367
200	0.1511140264
201	0.1508962458
202	0.1508366857
203	0.1507112249
204	0.1504955089
205	0.1502454655
206	0.1500964733
207	0.1499553596
208	0.1497529323
209	0.1495529663
210	0.1494441049
211	0.1492201946
212	0.1491600992
213	0.149101856
214	0.1488772943
215	0.1487193283
216	0.1486613137
