iter	Passed	Remaining
0	119	119212
1	190	95109
2	263	87679
3	333	83070
4	414	82584
5	486	80595
6	562	79732
7	630	78176
8	702	77385
9	770	76299
10	836	75244
11	909	74878
12	975	74097
13	1055	74326
14	1147	75360
15	1230	75656
16	1311	75807
17	1397	76260
18	1474	76121
19	1548	75866
20	1623	75670
21	1702	75694
22	1784	75784
23	1866	75889
24	1935	75489
25	2003	75038
26	2077	74848
27	2148	74580
28	2226	74539
29	2302	74463
30	2376	74279
31	2442	73890
32	2515	73701
33	2588	73547
34	2665	73483
35	2740	73396
36	2810	73146
37	2879	72903
38	2950	72700
39	3017	72427
40	3086	72183
41	3155	71974
42	3224	71773
43	3291	71521
44	3360	71319
45	3425	71050
46	3493	70842
47	3561	70631
48	3629	70445
49	3699	70294
50	3766	70081
51	3830	69841
52	3899	69684
53	3973	69606
54	4058	69740
55	4134	69696
56	4202	69519
57	4268	69331
58	4335	69148
59	4404	69006
60	4469	68798
61	4539	68672
62	4607	68524
63	4673	68349
64	4740	68192
65	4806	68019
66	4874	67875
67	4941	67721
68	5004	67530
69	5072	67388
70	5139	67241
71	5206	67110
72	5281	67068
73	5354	67003
74	5422	66874
75	5487	66721
76	5555	66599
77	5624	66483
78	5690	66346
79	5755	66193
80	5827	66112
81	5894	65995
82	5961	65864
83	6029	65744
84	6101	65684
85	6185	65740
86	6283	65944
87	6361	65924
88	6437	65895
89	6509	65821
90	6586	65787
91	6662	65753
92	6739	65727
93	6807	65611
94	6876	65510
95	6943	65388
96	7018	65338
97	7093	65292
98	7174	65298
99	7256	65306
100	7337	65311
101	7417	65305
102	7502	65341
103	7590	65395
104	7671	65393
105	7744	65318
106	7813	65212
107	7880	65085
108	7947	64964
109	8014	64846
110	8087	64771
111	8153	64645
112	8221	64534
113	8290	64433
114	8362	64355
115	8438	64308
116	8522	64320
117	8614	64387
118	8695	64375
119	8774	64348
120	8848	64279
121	8916	64169
122	8984	64058
123	9050	63937
124	9115	63808
125	9186	63721
126	9256	63628
127	9322	63510
128	9394	63430
129	9461	63316
130	9531	63226
131	9602	63141
132	9667	63019
133	9733	62907
134	9803	62813
135	9873	62725
136	9940	62615
137	10012	62541
138	10085	62474
139	10154	62377
140	10221	62269
141	10292	62189
142	10356	62067
143	10425	61974
144	10494	61881
145	10562	61785
146	10627	61668
147	10702	61614
148	10783	61588
149	10866	61574
150	10942	61524
151	11009	61421
152	11085	61366
153	11163	61325
154	11237	61260
155	11315	61220
156	11395	61186
157	11462	61087
158	11534	61012
159	11607	60937
160	11682	60881
161	11756	60816
162	11827	60731
163	11892	60624
164	11960	60529
165	12032	60452
166	12100	60358
167	12166	60251
168	12240	60190
169	12307	60087
170	12375	59996
171	12443	59902
172	12510	59806
173	12580	59721
174	12649	59632
175	12717	59541
176	12786	59452
177	12855	59365
178	12920	59261
179	12989	59172
180	13058	59086
181	13123	58985
182	13194	58905
183	13270	58851
184	13401	59040
185	13483	59010
186	13558	58948
187	13628	58865
188	13697	58777
189	13771	58711
190	13846	58649
191	13922	58588
192	14000	58539
193	14072	58466
194	14143	58388
195	14223	58344
196	14300	58291
197	14381	58254
198	14450	58166
199	14519	58077
200	14588	57990
201	14661	57920
202	14731	57838
203	14800	57751
204	14871	57672
205	14941	57588
206	15009	57500
207	15078	57415
208	15152	57347
209	15237	57321
210	15317	57278
211	15397	57232
212	15484	57212
213	15559	57150
214	15639	57103
215	15717	57047
216	15787	56965
217	15863	56903
218	15940	56847
219	16005	56748
220	16077	56672
221	16150	56599
222	16233	56563
223	16311	56508
224	16414	56539
225	16493	56486
226	16568	56419
227	16639	56339
228	16712	56266
229	16779	56175
230	16850	56094
231	16929	56042
232	17005	55978
233	17077	55903
234	17150	55830
235	17223	55757
236	17289	55660
237	17359	55578
238	17424	55481
239	17493	55396
240	17563	55313
241	17628	55215
242	17698	55134
243	17767	55051
244	17834	54959
245	17908	54890
246	17977	54806
247	18041	54705
248	18108	54617
249	18178	54535
250	18245	54446
251	18312	54355
252	18385	54283
253	18452	54193
254	18518	54103
255	18589	54024
256	18660	53947
257	18731	53871
258	18808	53811
259	18892	53771
260	18969	53711
261	19045	53646
262	19121	53584
263	19188	53495
264	19255	53406
265	19323	53320
266	19393	53240
267	19457	53145
268	19528	53066
269	19598	52987
270	19667	52907
271	19736	52825
272	19801	52731
273	19867	52642
274	19937	52563
275	20005	52479
276	20077	52403
277	20148	52327
278	20215	52241
279	20282	52154
280	20352	52075
281	20419	51991
282	20486	51903
283	20554	51821
284	20620	51732
